,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495,0,1,1,0
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500,0,1,1,0
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500,0,1,1,0
3,2,164,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950,0,1,1,0
4,2,164,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450,0,1,1,0
5,2,122,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,0,1,1,0
6,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,0,1,1,0
7,1,122,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,0,1,1,0
8,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,0,1,0,1
9,2,192,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,0,1,1,0
10,0,192,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,0,1,1,0
11,0,188,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970,0,1,1,0
12,0,188,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105,0,1,1,0
13,1,122,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565,0,1,1,0
14,0,122,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760,0,1,1,0
15,0,122,bmw,two,sedan,rwd,front,103.5,0.9312830370014417,0.9430555555555556,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315,0,1,1,0
16,0,122,bmw,four,sedan,rwd,front,110.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880,0,1,1,0
17,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,0,1,1,0
18,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8833333333333333,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,0,1,1,0
19,0,81,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,0,1,1,0
20,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,0,1,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,0,1,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,0,1,0,1
23,1,148,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,0,1,1,0
24,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,0,1,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,0,1,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,0,1,0,1
27,-1,110,dodge,four,wagon,fwd,front,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,0,1,1,0
28,3,145,dodge,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964,0,1,0,1
